consumer,ratio_of_special,expences
10,0.0943396,5300
50,0.106383,4700
100,0.118483,4220
500,0.099681,5016
1000,0.0967586,5167
5000,0.100861,4957
10000,0.0986884,5066
50000,0.0995901,5020
100000,0.0997751,5011
