試行回数,変えないで当選する確率,変えて当選する確率
2560,0.333984,0.666016
2570,0.333463,0.666537
2580,0.333333,0.666667
2590,0.333977,0.666023
2600,0.333846,0.666154
2610,0.333333,0.666667
2620,0.333206,0.666794
2630,0.33384,0.66616
2640,0.33447,0.66553
2650,0.33434,0.66566
2660,0.334211,0.665789
2670,0.335206,0.664794
2680,0.333955,0.666045
2690,0.333829,0.666171
2700,0.334074,0.665926
2710,0.333948,0.666052
2720,0.333824,0.666176
2730,0.333333,0.666667
2740,0.332847,0.667153
2750,0.332364,0.667636
2760,0.331884,0.668116
2770,0.331047,0.668953
2780,0.330576,0.669424
2790,0.331183,0.668817
2800,0.331071,0.668929
2810,0.330961,0.669039
2820,0.330496,0.669504
2830,0.330389,0.669611
2840,0.329577,0.670423
2850,0.329474,0.670526
2860,0.329371,0.670629
2870,0.328223,0.671777
2880,0.328472,0.671528
2890,0.32872,0.67128
2900,0.328966,0.671034
2910,0.329553,0.670447
2920,0.32911,0.67089
2930,0.32901,0.67099
2940,0.328571,0.671429
2950,0.328814,0.671186
2960,0.329392,0.670608
2970,0.32862,0.67138
2980,0.329195,0.670805
2990,0.3301,0.6699
3000,0.329667,0.670333
