n,ratio
469,3.1727
470,3.1745
471,3.1762
472,3.178
473,3.1797
474,3.1814
475,3.1832
476,3.1849
477,3.1782
478,3.1715
479,3.1649
480,3.1667
481,3.1684
482,3.1701
483,3.1636
484,3.157
485,3.1588
486,3.1523
487,3.154
488,3.1557
489,3.1493
490,3.151
491,3.1527
492,3.1545
493,3.1562
494,3.1579
495,3.1596
496,3.1532
497,3.1469
498,3.1486
499,3.1503
500,3.144
501,3.1457
502,3.1474
503,3.1412
504,3.1429
505,3.1446
506,3.1462
507,3.14
508,3.1417
509,3.1434
510,3.1451
511,3.1468
512,3.1484
513,3.1501
514,3.1518
515,3.1456
516,3.1473
517,3.1412
518,3.1429
519,3.1445
520,3.1462
521,3.1478
522,3.1494
523,3.1434
524,3.145
525,3.1467
526,3.1483
527,3.1499
528,3.1515
529,3.1531
530,3.1547
531,3.1563
532,3.1579
533,3.1595
534,3.161
535,3.1626
536,3.1642
537,3.1657
538,3.1673
539,3.1614
540,3.163
541,3.1645
542,3.1661
543,3.1676
544,3.1691
545,3.1706
546,3.1722
547,3.1664
548,3.1679
549,3.1621
550,3.1636
551,3.1652
552,3.1667
553,3.1682
554,3.1697
555,3.1712
556,3.1727
557,3.1741
558,3.1756
559,3.1771
560,3.1786
561,3.18
562,3.1815
563,3.1829
564,3.1844
565,3.1858
566,3.1873
567,3.1887
568,3.1901
569,3.1916
570,3.186
571,3.1874
572,3.1888
573,3.1902
574,3.1916
575,3.193
576,3.1875
577,3.1889
578,3.1903
579,3.1917
580,3.1862
581,3.1876
582,3.189
583,3.1904
584,3.1918
585,3.1932
586,3.1945
587,3.1891
588,3.1905
589,3.1851
590,3.1797
591,3.181
592,3.1824
593,3.1838
594,3.1852
595,3.1798
596,3.1812
597,3.1826
598,3.1839
599,3.1853
600,3.1867
601,3.1814
602,3.1827
603,3.1774
604,3.1788
605,3.1802
606,3.1815
607,3.1829
608,3.1776
609,3.179
610,3.1803
611,3.1817
612,3.183
613,3.1778
614,3.1792
615,3.1805
616,3.1818
617,3.1831
618,3.1845
619,3.1858
620,3.1871
621,3.182
622,3.1833
623,3.1782
624,3.1795
625,3.1808
626,3.1757
627,3.177
628,3.1783
629,3.1797
630,3.181
631,3.1823
632,3.1835
633,3.1785
634,3.1798
635,3.1811
636,3.1761
637,3.1774
638,3.1787
639,3.18
640,3.1813
641,3.1825
642,3.1838
643,3.1788
644,3.1739
645,3.1752
646,3.1765
647,3.1777
648,3.179
649,3.1803
650,3.1815
651,3.1828
652,3.184
653,3.1853
654,3.1865
655,3.1817
656,3.1768
657,3.1781
658,3.1793
659,3.1745
660,3.1758
661,3.171
662,3.1722
663,3.1735
664,3.1687
665,3.1639
666,3.1652
667,3.1664
668,3.1677
669,3.1689
670,3.1642
671,3.1595
672,3.1548
673,3.156
674,3.1573
675,3.1526
676,3.1538
677,3.1551
678,3.1504
679,3.1517
680,3.1529
681,3.1542
682,3.1496
683,3.1449
684,3.1462
685,3.1474
686,3.1487
687,3.1499
688,3.1453
689,3.1466
690,3.1478
691,3.1433
692,3.1445
693,3.1457
694,3.147
695,3.1482
696,3.1494
697,3.1506
698,3.1519
699,3.1531
700,3.1543
701,3.1555
702,3.151
703,3.1465
704,3.1477
705,3.1489
706,3.1501
707,3.1513
708,3.1525
709,3.1537
710,3.1549
711,3.1561
712,3.1573
713,3.1529
714,3.1541
715,3.1552
716,3.1564
717,3.1576
718,3.1532
719,3.1544
720,3.1556
721,3.1512
722,3.1524
723,3.1535
724,3.1492
725,3.1448
726,3.146
727,3.1417
728,3.1429
729,3.1385
730,3.1397
731,3.1409
732,3.1421
733,3.1432
734,3.1444
735,3.1456
736,3.1467
737,3.1425
738,3.1382
739,3.1394
740,3.1405
741,3.1417
742,3.1429
743,3.144
744,3.1452
745,3.1463
746,3.1475
747,3.1486
748,3.1444
749,3.1455
750,3.1413
751,3.1425
752,3.1436
753,3.1394
754,3.1353
755,3.1364
756,3.1376
757,3.1387
758,3.1398
759,3.141
760,3.1421
761,3.1432
762,3.1444
763,3.1455
764,3.1414
765,3.1425
766,3.1436
767,3.1395
768,3.1406
769,3.1417
770,3.1377
771,3.1388
772,3.1347
773,3.1307
774,3.1318
775,3.1329
776,3.1289
777,3.13
778,3.1311
779,3.1322
780,3.1333
781,3.1293
782,3.1253
783,3.1264
784,3.1276
785,3.1236
786,3.1247
787,3.1258
788,3.1269
789,3.1229
790,3.1241
791,3.1252
792,3.1263
793,3.1223
794,3.1234
795,3.1245
796,3.1256
797,3.1217
798,3.1228
799,3.1189
800,3.12
801,3.1211
802,3.1222
803,3.1183
804,3.1194
805,3.1205
806,3.1166
807,3.1177
808,3.1188
809,3.115
810,3.116
811,3.1171
812,3.1133
813,3.1144
814,3.1155
815,3.1166
816,3.1176
817,3.1187
818,3.1198
819,3.1209
820,3.122
821,3.123
822,3.1241
823,3.1252
824,3.1262
825,3.1273
826,3.1235
827,3.1245
828,3.1256
829,3.1267
830,3.1277
831,3.1288
832,3.1298
833,3.1309
834,3.1319
835,3.1329
836,3.134
837,3.1302
838,3.1313
839,3.1323
840,3.1286
841,3.1249
842,3.1259
843,3.1269
844,3.128
845,3.129
846,3.13
847,3.1263
848,3.1274
849,3.1284
850,3.1247
851,3.121
852,3.1221
853,3.1231
854,3.1241
855,3.1251
856,3.1262
857,3.1225
858,3.1189
859,3.1199
860,3.1163
861,3.1173
862,3.1183
863,3.1147
864,3.1157
865,3.1168
866,3.1178
867,3.1188
868,3.1198
869,3.1208
870,3.1172
871,3.1183
872,3.1193
873,3.1203
874,3.1213
875,3.1223
876,3.1233
877,3.1243
878,3.1253
879,3.1263
880,3.1273
881,3.1283
882,3.1293
883,3.1302
884,3.1312
885,3.1322
886,3.1332
887,3.1342
888,3.1351
889,3.1316
890,3.1326
891,3.1336
892,3.1345
893,3.131
894,3.132
895,3.133
896,3.1339
897,3.1349
898,3.1359
899,3.1324
900,3.1289
901,3.1299
902,3.1264
903,3.1274
904,3.1283
905,3.1293
906,3.1258
907,3.1268
908,3.1278
909,3.1287
910,3.1297
911,3.1306
912,3.1316
913,3.1281
914,3.1291
915,3.1301
916,3.131
917,3.1276
918,3.1285
919,3.1251
920,3.1261
921,3.127
922,3.128
923,3.1246
924,3.1255
925,3.1265
926,3.1274
927,3.1284
928,3.1293
929,3.1302
930,3.1312
931,3.1321
932,3.133
933,3.134
934,3.1349
935,3.1358
936,3.1368
937,3.1334
938,3.1343
939,3.1353
940,3.1319
941,3.1328
942,3.1338
943,3.1347
